"KO","STN","Pvalue","27L1","27L2","27L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27L1_log","27L2_log","27L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression"
"K00003",-1.97068469856798,0.00395716639209226,3.5879,0,0,16.957,12.963,17.589,"Homoserine dehydrogenase","homoserine dehydrogenase","Homoserine dehydrogenase","","GO:0009086;GO:0009088;GO:0009097;GO:0004412;GO:0050661;GO:0006520;GO:0016491","methionine biosynthetic process;threonine biosynthetic process;isoleucine biosynthetic process;homoserine dehydrogenase activity;NADP binding;amino acid metabolic process;oxidoreductase activity","homoserine dehydrogenase ",2.19783394604503,0,0,4.16647444014237,3.80353703787742,4.21637725708423,15.8363333333333,1.19596666666667,4.062129578368,0.732611315348343,-3.32951826301966,2.40261568800837,"Downregulated"
"K00030",-1.71753632932387,0.00589621087314662,17.939,20.577,3.4531,29.675,29.167,32.979,"Isocitrate dehydrogenase [NADP]","NADP-dependent isocitrate dehydrogenase","","","GO:0006099;GO:0000287;GO:0004450;GO:0051287;GO:0016616","tricarboxylic acid cycle;magnesium ion binding;isocitrate dehydrogenase (NADP+) activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","isocitrate dehydrogenase (NAD+) ",4.24328825182206,4.43142238575636,2.15481000968879,4.93899143877554,4.91489932765564,5.08657148960285,30.607,13.9897,4.98015408534468,3.60984021575574,-1.37031386958894,2.22942699268525,"Downregulated"
"K00033",-1.96472162396722,0.00397858319604613,5.3818,1.7893,0,16.957,14.043,19.787,"6-phosphogluconate dehydrogenase, decarboxylating","NADP-dependent phosphogluconate dehydrogenase","","","GO:0006098;GO:0004616;GO:0050661;GO:0016491","pentose-phosphate shunt;phosphogluconate dehydrogenase (decarboxylating) activity;NADP binding;oxidoreductase activity","6-phosphogluconate dehydrogenase ",2.67396339653176,1.47990311014117,0,4.16647444014237,3.9110204048233,4.37760965695934,16.929,2.39036666666667,4.15170150064167,1.38462216889098,-2.76707933175069,2.40027155598773,"Downregulated"
"K00052",-1.83819942808187,0.00500164744645799,3.5879,0,0,13.778,17.284,13.192,"3-isopropylmalate dehydrogenase","3-isopropylmalate dehydrogenase","","","GO:0009098;GO:0000287;GO:0003862;GO:0051287;GO:0016616","leucine biosynthetic process;magnesium ion binding;3-isopropylmalate dehydrogenase activity;NAD binding;oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor","3-isopropylmalate dehydrogenase ",2.19783394604503,0,0,3.88537912855803,4.19250981894195,3.82700600963898,14.7513333333333,1.19596666666667,3.96829831904632,0.732611315348343,-3.23568700369798,2.30088692385181,"Downregulated"
"K00053",-2.66928137522834,0.00152224052718287,17.939,16.998,14.964,42.393,48.612,43.972,"Ketol-acid reductoisomerase (NADP(+))","ketol-acid reductoisomerase","","","GO:0009082;GO:0004455;GO:0050661;GO:0016491","branched-chain amino acid biosynthetic process;ketol-acid reductoisomerase activity;NADP binding;oxidoreductase activity","ketol-acid reductoisomerase ",4.24328825182206,4.16976469308714,3.99675027884918,5.43939042604102,5.63261721240664,5.49095514002218,44.9923333333333,16.6336666666667,5.52098759282328,4.13660107458613,-1.38438651823715,2.81751671985515,"Downregulated"
"K00088",-2.95757663786663,0.000919275123558484,30.497,30.418,18.417,62.53,57.254,65.958,"putative oxidoreductase/MSMEI_1564","GuaB3 family IMP dehydrogenase-related protein","GuaB3 family IMP dehydrogenase-related protein","","GO:0006164;GO:0003938;GO:0003824;GO:0016491","purine nucleotide biosynthetic process;IMP dehydrogenase activity;catalytic activity;oxidoreductase activity","IMP dehydrogenase ",4.97714251742896,4.97351943968502,4.27924841101737,5.98936611402606,5.86428521044028,6.06518453088234,61.914,26.444,5.97294528511623,4.74330345604378,-1.22964182907244,3.03655449213768,"Downregulated"
"K00161",-1.87448407928816,0.00455848434925865,5.3818,6.2625,0,18.017,18.365,19.787,"Acetoin:2,6-dichlorophenolindophenol oxidoreductase subunit alpha","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","","","GO:0006086;GO:0004739;GO:0043231;GO:0016624","acetyl-CoA biosynthetic process from pyruvate;pyruvate dehydrogenase (acetyl-transferring) activity;intracellular membrane-bounded organelle;oxidoreductase activity, acting on the aldehyde or oxo group of donors, disulfide as acceptor","pyruvate dehydrogenase E1 component alpha subunit ",2.67396339653176,2.86046625851717,0,4.24921776871517,4.27537959625362,4.37760965695934,18.723,3.88143333333333,4.30073567397604,1.84480988501631,-2.45592578895973,2.34117953193431,"Downregulated"
"K00228",-2.55007546788823,0.00158813838550247,10.764,10.736,8.0573,33.914,32.408,35.177,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase ",3.55630678422498,3.5528688710113,3.17908104396381,5.12573374681039,5.0621217119078,5.17700087143214,33.833,9.85243333333333,5.12161877671678,3.42941889973336,-1.69219987698341,2.79911165717243,"Downregulated"
"K00254",-1.4754144660702,0.0094168039538715,0,3.5786,0,11.658,10.803,13.192,"Dihydroorotate dehydrogenase (quinone)","quinone-dependent dihydroorotate dehydrogenase","","","GO:0006207;GO:0004152;GO:0005737;GO:0016020;GO:0016627","'de novo' pyrimidine nucleobase biosynthetic process;dihydroorotate dehydrogenase activity;cytoplasm;membrane;oxidoreductase activity, acting on the CH-CH group of donors","dihydroorotate dehydrogenase ",0,2.19490653242285,0,3.66197756774053,3.56108169473173,3.82700600963898,11.8843333333333,1.19286666666667,3.68335509070375,0.731635510807617,-2.95171957989613,2.02609647095632,"Downregulated"
"K00284",-2.5582216604332,0.00156836902800659,7.1757,7.1571,0,25.436,19.445,35.177,"Ferredoxin-dependent glutamate synthase 2","glutamate synthase large subunit","","","GO:0006537;GO:0015930;GO:0006807;GO:0016491;GO:0016638","glutamate biosynthetic process;glutamate synthase activity;nitrogen compound metabolic process;oxidoreductase activity;oxidoreductase activity, acting on the CH-NH2 group of donors","glutamate synthase (ferredoxin) ",3.03134225884245,3.02805633856412,0,4.72443199575995,4.35367615775164,5.17700087143214,26.686,4.7776,4.75170300831458,2.01979953246886,-2.73190347584572,2.80455174269078,"Downregulated"
