"KO","STN","Pvalue","30L1","30L2","30L3","30R1","30R2","30R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","30L1_log","30L2_log","30L3_log","30R1_log","30R2_log","30R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K00940",3.774616582,5.39216e-05,69.973,38.653,52.708,16.359,13.973,24.301,"Nucleoside diphosphate kinase","MULTISPECIES: nucleoside-diphosphate kinase","Nucleoside diphosphate kinase","ndk","GO:0006099;GO:0006165;GO:0006183;GO:0006228;GO:0006241;GO:0004550;GO:0005524;GO:0046872;GO:0005737","tricarboxylic acid cycle;nucleoside diphosphate phosphorylation;GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process;nucleoside diphosphate kinase activity;ATP binding;metal ion binding;cytoplasm","nucleoside-diphosphate kinase ",6.149198385,5.309358114,5.747065094,4.117611936,3.904291405,4.661122502,18.211,53.778,4.227675281,5.735207197,1.507531917,4.268237482,"Upregulated","Energy and redox"
"K00975",3.309381425,0.000379085,56.176,55.564,78.086,25.02,28.819,33.137,"Glucose-1-phosphate adenylyltransferase","glucose-1-phosphate adenylyltransferase","","","GO:0005978;GO:0008878;GO:0009058;GO:0016779","glycogen biosynthetic process;glucose-1-phosphate adenylyltransferase activity;biosynthetic process;nucleotidyltransferase activity","glucose-1-phosphate adenylyltransferase ",5.837337788,5.821812241,6.305350423,4.701549057,4.898159972,5.093264373,28.992,63.27533333,4.897657801,5.988166817,1.090509017,3.421263437,"Upregulated","Purines, pyrimidines, nucleotides"
"K01772",2.175802938,0.001214052,32.523,24.158,38.067,11.548,13.099,16.569,"Ferrochelatase","ferrochelatase","","","GO:0006783;GO:0004325","heme biosynthetic process;ferrochelatase activity","protoporphyrin/coproporphyrin ferrochelatase ",5.067079358,4.652945331,5.287878568,3.649385529,3.817520935,4.134960173,13.73866667,31.58266667,3.867288879,5.002634419,1.13534554,2.915762608,"Upregulated","Cofactor"
"K02012",18.02304454,1e-06,276.94,231.92,293.8,23.095,22.706,24.301,"Iron deficiency-induced protein A","extracellular solute-binding protein","","","","","iron(III) transport system substrate-binding protein",8.118629666,7.863690714,8.203592714,4.590661896,4.567180347,4.661122502,23.36733333,267.5533333,4.606321582,8.061971031,3.45564945,6,"Upregulated","Transport"
"K02109",4.38036516,5.39216e-05,65.046,78.514,60.516,25.982,20.959,23.196,"ATP synthase subunit b;ATP synthase subunit b'","F0F1 ATP synthase subunit B;MULTISPECIES: F0F1 ATP synthase subunit B'",";ATP synthase subunit b'  sector subunit b')",";atpG","GO:0015986;GO:0015078;GO:0045263;GO:1902600;GO:0046933;GO:0031676;GO:0016021","proton motive force-driven ATP synthesis;proton transmembrane transporter activity;proton-transporting ATP synthase complex, coupling factor F(o);proton transmembrane transport;proton-transporting ATP synthase activity, rotational mechanism;plasma membrane-derived thylakoid membrane;integral component of membrane","F-type H+-transporting ATPase subunit b",6.045399284,6.313136992,5.942889792,4.753925385,4.456740451,4.596696661,23.379,68.02533333,4.602454166,6.100475356,1.49802119,4.268237482,"Upregulated","Transport"
"K02285",6.102136233,1e-06,171.48,161.86,168.86,79.871,74.23,86.157,"R-phycocyanin-2 beta chain","MULTISPECIES: phycocyanin subunit beta","","","GO:0015979;GO:0030089","photosynthesis;phycobilisome","phycocyanin beta chain",7.430285273,7.347488497,7.408202345,6.337550546,6.233236185,6.445544634,80.086,167.4,6.338777122,7.395325372,1.05654825,6,"Upregulated","Photosynthesis and chlorophyll"
"K02635",1.432052498,0.006455882,17.74,19.327,18.545,7.6985,6.9864,11.046,"Cytochrome b6","MULTISPECIES: cytochrome b6","Cytochrome b6","petB","GO:0015979;GO:0022904;GO:0045158;GO:0046872;GO:0031676;GO:0009055;GO:0016491;GO:0016020;GO:0016021","photosynthesis;respiratory electron transport chain;electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity;metal ion binding;plasma membrane-derived thylakoid membrane;electron transfer activity;oxidoreductase activity;membrane;integral component of membrane","cytochrome b6",4.228049048,4.345325403,4.28872768,3.120766639,2.997545331,3.590482259,8.576966667,18.53733333,3.236264743,4.287367377,1.051102634,2.190044392,"Upregulated","Photosynthesis and chlorophyll"
"K02637",2.74589855,0.00045098,28.581,24.158,20.497,5.7738,0,8.8366,"Cytochrome b6-f complex subunit 4","MULTISPECIES: cytochrome b6-f complex subunit IV","Cytochrome b6-f complex subunit 4","petD","GO:0009767;GO:0045156;GO:0045158;GO:0031676;GO:0009055;GO:0016491;GO:0016020;GO:0042651;GO:0016021","photosynthetic electron transport chain;electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity;electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity;plasma membrane-derived thylakoid membrane;electron transfer activity;oxidoreductase activity;membrane;thylakoid membrane;integral component of membrane","cytochrome b6-f complex subunit 4",4.886598919,4.652945331,4.426063434,2.759965391,0,3.298159737,4.870133333,24.412,2.019375043,4.655202561,2.635827519,3.34584234,"Upregulated","Photosynthesis and chlorophyll"
"K02639",4.087011637,5.39216e-05,41.393,62.812,46.851,13.472,12.2266,15.464,"Ferredoxin-1;Ferredoxin","2Fe-2S iron-sulfur cluster-binding protein;MULTISPECIES: 2Fe-2S iron-sulfur cluster-binding protein",";Ferredoxin",";petF4","GO:0051536;GO:0022900;GO:0009055;GO:0046872;GO:0051537","iron-sulfur cluster binding;electron transport chain;electron transfer activity;metal ion binding;2 iron, 2 sulfur cluster binding","ferredoxin",5.405754159,5.995755847,5.58047717,3.855192408,3.725370348,4.041242982,13.72086667,50.352,3.873935246,5.660662392,1.786727146,4.268237482,"Upregulated","Photosynthesis and chlorophyll"
"K02838",3.741380708,5.39216e-05,55.19,56.772,55.636,20.208,17.466,22.092,"Ribosome-recycling factor","ribosome recycling factor","","","GO:0006412","translation","ribosome recycling factor",5.812241495,5.852298535,5.823647471,4.40653667,4.206799487,4.529321225,19.922,55.866,4.380885794,5.829395834,1.44851004,4.268237482,"Upregulated","Translation"
