"KO","STN","Pvalue","27L1","27L2","27L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27L1_log","27L2_log","27L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K00940",3.618448079,0.000354201,78.933,67.993,43.74,21.196,22.686,19.787,"Nucleoside diphosphate kinase","MULTISPECIES: nucleoside-diphosphate kinase","Nucleoside diphosphate kinase","ndk","GO:0006099;GO:0006165;GO:0006183;GO:0006228;GO:0006241;GO:0004550;GO:0005524;GO:0046872;GO:0005737","tricarboxylic acid cycle;nucleoside diphosphate phosphorylation;GTP biosynthetic process;UTP biosynthetic process;CTP biosynthetic process;nucleoside diphosphate kinase activity;ATP binding;metal ion binding;cytoplasm","nucleoside-diphosphate kinase ",6.320719332,6.108378089,5.483493351,4.472227803,4.565962677,4.377609657,21.223,63.55533333,4.471933379,5.970863591,1.498930212,3.450750231,"Upregulated","Energy and redox"
"K01772",2.809810254,0.001133443,43.054,37.575,52.948,15.897,14.043,15.39,"Ferrochelatase","ferrochelatase","","","GO:0006783;GO:0004325","heme biosynthetic process;ferrochelatase activity","protoporphyrin/coproporphyrin ferrochelatase ",5.461201113,5.269594252,5.753497571,4.078695219,3.911020405,4.034743949,15.11,44.52566667,4.008153191,5.494764312,1.486611121,2.945600253,"Upregulated","Cofactor"
"K02012",19.20684196,1e-06,313.04,310.44,361.43,18.017,20.525,15.39,"Iron deficiency-induced protein A","extracellular solute-binding protein","","","","","iron(III) transport system substrate-binding protein",8.29480452,8.28281044,8.501558569,4.249217769,4.427941333,4.034743949,17.97733333,328.3033333,4.237301017,8.359724509,4.122423493,6,"Upregulated","Transport"
"K02109",2.787814942,0.001196046,54.715,47.416,69.063,23.316,27.007,23.085,"ATP synthase subunit b;ATP synthase subunit b'","F0F1 ATP synthase subunit B;MULTISPECIES: F0F1 ATP synthase subunit B'",";ATP synthase subunit b'  sector subunit b')",";atpG","GO:0015986;GO:0015078;GO:0045263;GO:1902600;GO:0046933;GO:0031676;GO:0016021","proton motive force-driven ATP synthesis;proton transmembrane transporter activity;proton-transporting ATP synthase complex, coupling factor F(o);proton transmembrane transport;proton-transporting ATP synthase activity, rotational mechanism;plasma membrane-derived thylakoid membrane;integral component of membrane","F-type H+-transporting ATPase subunit b",5.799993888,5.597411988,6.130580859,4.603834019,4.807715551,4.590063019,24.46933333,57.06466667,4.667204196,5.842662245,1.175458048,2.92225207,"Upregulated","Transport"
"K02637",3.015070595,0.000833608,27.806,19.682,23.021,0,0,0,"Cytochrome b6-f complex subunit 4","MULTISPECIES: cytochrome b6-f complex subunit IV","Cytochrome b6-f complex subunit 4","petD","GO:0009767;GO:0045156;GO:0045158;GO:0031676;GO:0009055;GO:0016491;GO:0016020;GO:0042651;GO:0016021","photosynthetic electron transport chain;electron transporter, transferring electrons within the cyclic electron transport pathway of photosynthesis activity;electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity;plasma membrane-derived thylakoid membrane;electron transfer activity;oxidoreductase activity;membrane;thylakoid membrane;integral component of membrane","cytochrome b6-f complex subunit 4",4.848297437,4.370303799,4.586224307,0,0,0,0,23.503,0,4.601608514,4.601608514,3.079038174,"Upregulated","Photosynthesis and chlorophyll"
"K02838",2.373138472,0.001943987,47.539,43.837,61.006,26.496,20.525,24.184,"Ribosome-recycling factor","ribosome recycling factor","","","GO:0006412","translation","ribosome recycling factor",5.601072481,5.486617847,5.954335919,4.781149852,4.427941333,4.654435541,23.735,50.794,4.621175575,5.680675416,1.059499841,2.711306684,"Upregulated","Translation"
"K03530",3.27043064,0.000522241,52.921,49.205,74.818,20.137,21.605,21.986,"DNA-binding protein HU 1","MULTISPECIES: HU family DNA-binding protein","DNA binding protein HU","hup","GO:0003677;GO:0030527","DNA binding;structural constituent of chromatin","DNA-binding protein HU-beta",5.752775347,5.649759147,6.244468495,4.401698723,4.498570013,4.522683526,21.24266667,58.98133333,4.474317421,5.88233433,1.408016909,3.282129429,"Upregulated","Regulatory system and stress"
"K05380",8.358387386,1e-06,200.92,229.03,272.8,79.487,87.502,86.844,"Phycobilisome 32.3 kDa linker polypeptide, phycocyanin-associated, rod","phycobilisome rod-core linker polypeptide","Phycobilisome rod-core linker polypeptide","","GO:0015979;GO:0030089;GO:0031676","photosynthesis;phycobilisome;plasma membrane-derived thylakoid membrane","phycoerythrin-associated linker protein",7.657640005,7.845678216,8.096978636,6.330683877,6.467638153,6.456871844,84.611,234.25,6.418397958,7.866765619,1.448367661,6,"Upregulated","Photosynthesis and chlorophyll"
"K06378",1.95027442,0.004171334,34.982,27.734,49.495,16.957,19.445,15.39,"Anti-sigma-B factor antagonist","MULTISPECIES: STAS domain-containing protein","","","GO:0006355;GO:0043856","regulation of DNA-templated transcription;anti-sigma factor antagonist activity","stage II sporulation protein AA (anti-sigma F factor antagonist)",5.169203474,4.844686936,5.658068635,4.16647444,4.353676158,4.034743949,17.264,37.40366667,4.184964849,5.223986348,1.039021499,2.37972499,"Upregulated","unknown"
"K07267",28.05286514,1e-06,747.178,664.719,855.232,102.8026,119.9143,95.6391,"putative protein","iron uptake porin;MAG: porin","","","GO:0008643;GO:0015288;GO:0016020","carbohydrate transport;porin activity;membrane","porin",9.547237734,9.378769534,9.741857944,6.69769877,6.917841066,6.594535114,106.1186667,755.7096667,6.73669165,9.555955071,2.819263421,6,"Upregulated","Transport"
