"KO","STN","Pvalue","27L1","27L2","27L3","27R1","27R2","27R3","Protein","Description","Protein_name","Gene_name","GO_IDs","GO_terms","KODef","27L1_log","27L2_log","27L3_log","27R1_log","27R2_log","27R3_log","mean_control","mean_treatment","mean_control_log","mean_treatment_log","log_fc","log_pval","Expression","category"
"K01647",1.825998167,0.003912202,12.086,16.811,16.153,3.2081,4.0305,8.034,"Citrate synthase","MAG: citrate synthase","Citrate synthase","","GO:0006099;GO:0036440;GO:0005737;GO:0046912","tricarboxylic acid cycle;citrate synthase activity;cytoplasm;acyltransferase activity, acyl groups converted into alkyl on transfer","citrate synthase ",3.709952271,4.154696614,4.100389016,2.073168989,2.330701802,3.175364914,5.090866667,15.01666667,2.526411902,3.988345967,1.461934065,2.407578687,"Upregulated","Respiration"
"K02012",20.04841449,1e-06,290.06,219.662,232.6,2.406,6.0458,4.6865,"Iron deficiency-induced protein A","MAG: iron ABC transporter substrate-binding protein","Iron ABC transporter substrate-binding protein","","GO:0006811;GO:0055072;GO:0046872","ion transport;iron ion homeostasis;metal ion binding","iron(III) transport system substrate-binding protein",8.185172775,7.785694396,7.867896464,1.768078435,2.816763523,2.507540957,4.379433333,247.4406667,2.364127639,7.946254545,5.582126906,6,"Upregulated","Transport"
"K07267",13.4397184,1e-06,300.8,263.37,291.83,71.379,63.145,54.229,"putative protein","MAG: porin","Porin","","GO:0008643;GO:0055085;GO:0015288;GO:0016020;GO:0016021","carbohydrate transport;transmembrane transport;porin activity;membrane;integral component of membrane","porin",8.237448996,8.046414663,8.193919553,6.17749927,6.003264909,5.7873541,62.91766667,285.3333333,5.98937276,8.15926107,2.169888311,6,"Upregulated","Transport"
"K09807",1.762842588,0.004760417,16.114,19.052,12.922,4.0101,5.3741,8.7035,"hypothetical protein","MAG: SIMPL domain-containing protein","","","","","uncharacterized protein",4.097105091,4.325674234,3.799294575,2.324839399,2.672221653,3.278505213,6.029233333,16.02933333,2.758522089,4.074024633,1.315502545,2.322355033,"Upregulated","unknown"
"K21185",1.725389667,0.00543006,22.829,15.69,12.922,8.8221,6.7176,5.356,"Putative diflavin flavoprotein A 3","MULTISPECIES: flavin reductase family protein","","","GO:0010181","FMN binding","flavin reductase",4.574646504,4.06091205,3.799294575,3.296031511,2.948152272,2.668119125,6.965233333,17.147,2.970767636,4.144951043,1.174183407,2.26519541,"Upregulated","Other metabolites"
"IKNINDAA_00641",-1.581113553,0.00800744,2.6857,6.7244,13.999,10.426,21.496,20.085,"hypothetical protein","carboxysome shell carbonic anhydrase","","","","","hypothetical protein",1.881938647,2.949422875,3.906794413,3.51424853,4.491596594,4.398145117,17.33566667,7.803033333,4.134663414,2.912718645,-1.221944769,2.096506281,"Downregulated","unknown"
"IKNINDAA_01164",-1.860239897,0.003721726,9.4001,11.207,13.999,23.258,22.168,28.119,"hypothetical protein","MAG: hypothetical protein DCO99_07515","","","","","hypothetical protein",3.378525495,3.609636781,3.906794413,4.600388704,4.534061602,4.863888906,24.515,11.53536667,4.666113071,3.63165223,-1.034460841,2.429255581,"Downregulated","unknown"
"K00228",-1.568925218,0.008264881,0,0,2.1537,1.604,8.7328,12.72,"Oxygen-dependent coproporphyrinogen-III oxidase","oxygen-dependent coproporphyrinogen oxidase","","","GO:0006779;GO:0004109","porphyrin-containing compound biosynthetic process;coproporphyrinogen oxidase activity","coproporphyrinogen III oxidase ",0,0,1.657045428,1.380729449,3.282854909,3.778208576,7.6856,0.7179,2.813930978,0.552348476,-2.261582502,2.082763398,"Downregulated","Photosynthesis and chlorophyll"
"K00325",-1.977920801,0.002744048,0,16.811,11.845,17.644,24.183,28.119,"NAD(P) transhydrogenase subunit beta","MULTISPECIES: NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta","","","GO:0008750;GO:0050661;GO:0016020","NAD(P)+ transhydrogenase (AB-specific) activity;NADP binding;membrane","H+-translocating NAD(P) transhydrogenase subunit beta ",0,4.154696614,3.683134985,4.220639513,4.654378254,4.863888906,23.31533333,9.552,4.579635558,2.612610533,-1.967025025,2.561608356,"Downregulated","Energy and redox"
"K00367",-2.447103393,0.000915179,0,3.3622,0,6.4161,15.45,18.076,"Nitrate reductase","MAG: nitrate reductase catalytic subunit","Nitrate reductase catalytic subunit","","GO:0042128;GO:0016491;GO:0043546;GO:0046872;GO:0051539","nitrate assimilation;oxidoreductase activity;molybdopterin cofactor binding;metal ion binding;4 iron, 4 sulfur cluster binding","ferredoxin-nitrate reductase ",0,2.125055917,0,2.890660698,4.040015679,4.253686783,13.31403333,1.120733333,3.728121053,0.708351972,-3.019769081,3.038494157,"Downregulated","S and N metabolism"
