"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K02012","iron(III) Transporters system substrate-binding protein","MAG: iron ABC transporter substrate-binding protein","Increased",5.7604,0,"Transporters"
"K07267","porin","MAG: porin","Increased",2.5828,0,"Transporters"
"K01647","citrate synthase ","MAG: citrate synthase","Increased",1.7732,8e-04,"Respiration"
"K02097","phycobilisome core component","MAG: allophycocyanin subunit beta","Increased",1.1329,3e-04,"Photosynthesis"
"K00826","branched-chain amino acid aminotransferase ","MAG: branched chain amino acid aminotransferase","Increased",1.1245,2e-04,"Amino acid metabolism"
"K02635","cytochrome b6","MULTISPECIES: cytochrome b6","Increased",1.1033,0.0026,"Photosynthesis"
"K21993","formate transporter","MULTISPECIES: formate/nitrite transporter family protein","Decreased",-3.9527,0,"Transporters"
"K09667","protein O-GlcNAc transferase ","MAG: hypothetical protein DCO99_07355;MAG: hypothetical protein DCO99_07495;MAG: hypothetical protein DCO99_08875;MAG: hypothetical protein DCO99_05205;MAG: glycosyl transferase","Decreased",-3.9336,2e-04,"Translation"
"K03695","ATP-dependent Clp protease ATP-binding subunit ClpB","MAG: ATP-dependent chaperone ClpB","Decreased",-3.8253,0,"Regulatory system and stress"
"K00367","ferredoxin-nitrate reductase ","MAG: nitrate reductase catalytic subunit","Decreased",-3.7281,4e-04,"S and N metabolism"
"K06048","glutamate---cysteine ligase / carboxylate-amine ligase ","MAG: hypothetical protein DCO99_02030;MAG: putative glutamate--cysteine ligase","Decreased",-3.7147,7e-04,"Regulatory system and stress"
"K01872","alanyl-tRNA synthetase ","MAG: alanine--tRNA ligase","Decreased",-3.704,6e-04,"Translation"
"K21480","heme oxygenase (biliverdin-producing, ferredoxin) ","MAG: heme oxygenase","Decreased",-3.6419,9e-04,"Other metabolites"
"IKNINDAA_01566","hypothetical protein","MAG: hypothetical protein DCO99_00625","Decreased",-3.5438,0.0013,"unknown"
"K11004","ATP-binding cassette, subfamily B, bacterial HlyB/CyaB","MAG: peptidase C39;ABC transporter transmembrane domain-containing protein","Decreased",-3.4835,0,"Transporters"
"K22705","hopanoid C-2 methylase ","MAG: B12-binding domain-containing radical SAM protein","Decreased",-3.4345,0.0015,"Cell wall and signaling"
"K03403","magnesium chelatase subunit H ","MAG: magnesium chelatase subunit H","Decreased",-3.4215,2e-04,"Photosynthesis"
"K00548","5-methyltetrahydrofolate--homocysteine methyltransferase ","MAG: methionine synthase","Decreased",-3.4195,1e-04,"Amino acid metabolism"
"IKNINDAA_00641","hypothetical protein","carboxysome shell carbonic anhydrase","Decreased",-3.1416,4e-04,"unknown"
"K02881","large subunit ribosomal protein L18","MULTISPECIES: 50S ribosomal protein L18","Decreased",-3.139,0.0057,"Translation"
"K00764","amidophosphoribosyltransferase ","MAG: amidophosphoribosyltransferase","Decreased",-3.1319,0.0051,"Purines, pyrimidines, nucleotides"
"K01139","GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase ","MAG: (p)ppGpp synthetase","Decreased",-3.0956,0.0056,"Regulatory system and stress"
"K03404","magnesium chelatase subunit D ","MAG: magnesium chelatase ATPase subunit D","Decreased",-3.0332,0.0057,"Photosynthesis"
"K05366","penicillin-binding protein 1A ","MAG: penicillin-binding protein;MAG: carboxypeptidase","Decreased",-3.0282,0.0036,"Cell wall and signaling"
"K03782","catalase-peroxidase ","MAG: catalase/peroxidase HPI","Decreased",-2.8618,0.0014,"Regulatory system and stress"
"K02471","vitamin B12/bleomycin/antimicrobial peptide Transporters system ATP-binding/permease protein","MAG: ABC transporter ATP-binding protein","Decreased",-2.8231,0.0012,"Transporters"
"K00228","coproporphyrinogen III oxidase ","oxygen-dependent coproporphyrinogen oxidase","Decreased",-2.8139,0.0061,"Photosynthesis"
"K03218","23S rRNA (guanosine2251-2'-O)-methyltransferase ","23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB","Decreased",-2.7645,0.0079,"Translation"
"K21594","translation factor GUF1, mitochondrial ","MAG: elongation factor 4","Decreased",-2.7502,0.0028,"Translation"
"K13195","cold-inducible RNA-binding protein","MAG: RNA-binding protein","Decreased",-2.7459,1e-04,"Transcription"
"IKNINDAA_02085","hypothetical protein","MAG: hypothetical protein DCO99_10055","Decreased",-2.7382,0.0039,"unknown"
"K03585","membrane fusion protein, multidrug efflux system","MAG: efflux RND transporter periplasmic adaptor subunit","Decreased",-2.7331,0.0026,"Cell wall and signaling"
"K03797","carboxyl-terminal processing protease ","MULTISPECIES: S41 family peptidase;MAG: signal protein PDZ;MAG: peptidase S41","Decreased",-2.7122,2e-04,"Translation"
"K02492","glutamyl-tRNA reductase ","glutamyl-tRNA reductase","Decreased",-2.7095,0.0099,"Photosynthesis"
"K04772","serine protease DegQ ","PDZ domain-containing protein;MAG: serine protease","Decreased",-2.6629,0.003,"Translation"
"K19788","obg-like ATPase 1","MAG: redox-regulated ATPase YchF","Decreased",-2.6521,0.0051,"Regulatory system and stress"
"K00281","glycine dehydrogenase ","MAG: glycine dehydrogenase (aminomethyl-transferring)","Decreased",-2.6516,0.0047,"Amino acid metabolism"
"K01442","choloylglycine hydrolase ","MAG: hypothetical protein DCO99_01140;MAG: choloylglycine hydrolase","Decreased",-2.6324,0.0054,"Other metabolites"
"K05382","phycoerythrin-associated linker protein","MAG: CpeS-like protein;MAG: phycobiliprotein lyase","Decreased",-2.609,0.0019,"Photosynthesis"
"K11003","membrane fusion protein, hemolysin D","MAG: hemolysin D;MAG: hypothetical protein DCO99_07580","Decreased",-2.591,0.006,"Cell wall and signaling"
"K02287","phycocyanin-associated, rod","phycobilisome linker polypeptide","Decreased",-2.5395,0.0087,"Photosynthesis"
"K02335","DNApolymerase I ","MAG: DNApolymerase I","Decreased",-2.5382,0.0026,"DNA"
"K19813","glucose dehydrogenase ","MAG: dehydrogenase;GMC oxidoreductase","Decreased",-2.5157,0.0031,"Energy and redox"
"K03217","YidC/Oxa1 family membrane protein insertase","MULTISPECIES: membrane protein insertase YidC","Decreased",-2.5098,0.0085,"Translation"
"K09014","Fe-S cluster assembly protein SufB","Fe-S cluster assembly protein SufB","Decreased",-2.4897,0.0077,"Cofactor"
"K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase ","NDP-sugar synthase","Decreased",-2.4692,0.0095,"Other metabolites"
"K01414","oligopeptidase A ","MAG: peptidase M3","Decreased",-2.4369,0.0075,"Translation"
"K00688","glycogen phosphorylase ","MAG: glycogen phosphorylase","Decreased",-2.3852,0,"Respiration"
"K03592","PmbA protein","MAG: peptidase C69","Decreased",-2.3648,0.0011,"Translation"
"K19223","peptidoglycan DL-endopeptidase LytF ","LysM peptidoglycan-binding domain-containing protein","Decreased",-2.3193,0.0074,"Cell wall and signaling"
"K01890","phenylalanyl-tRNA synthetase beta chain ","MAG: phenylalanine--tRNA ligase subunit beta","Decreased",-2.2035,0.0021,"Translation"
"K03321","sulfate permease, SulP family","MAG: sodium-independent anion transporter","Decreased",-2.1464,0.002,"S and N metabolism"
"K03671","thioredoxin 1","MULTISPECIES: thioredoxin domain-containing protein;MULTISPECIES: thioredoxin","Decreased",-2.1117,0.0031,"Regulatory system and stress"
"K02520","translation initiation factor IF-3","MULTISPECIES: translation initiation factor IF-3","Decreased",-2.0592,0.0024,"Translation"
"K14440","SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A-like protein 1 ","MAG: helicase","Decreased",-2.0365,0.0048,"Purines, pyrimidines, nucleotides"
"K04567","lysyl-tRNA synthetase, class II ","MAG: lysine--tRNA ligase","Decreased",-2.0224,0.0045,"Translation"
"K01870","isoleucyl-tRNA synthetase ","MAG: isoleucine--tRNA ligase","Decreased",-1.9915,0.0065,"Translation"
"K10960","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ","geranylgeranyl reductase","Decreased",-1.9395,0,"Photosynthesis"
"K01682","aconitate hydratase 2 / 2-methylisocitrate dehydratase ","MAG: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Decreased",-1.8396,0,"Respiration"
"K01875","seryl-tRNA synthetase ","MAG: serine--tRNA ligase","Decreased",-1.7675,0.0085,"Translation"
