"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K02637","cytochrome b6-f complex subunit 4","MULTISPECIES: cytochrome b6-f complex subunit IV","Increased",4.6552,1e-04,"Photosynthesis"
"K02012","iron(III) Transporters system substrate-binding protein","extracellular solute-binding protein","Increased",3.8247,0,"Transporters"
"K07267","porin","iron uptake porin;MAG: porin","Increased",2.697,0,"Transporters"
"K19220","peptidoglycan DL-endopeptidase CwlS ","iron uptake porin","Increased",1.8874,0,"Transporters"
"K02902","large subunit ribosomal protein L28","50S ribosomal protein L28","Increased",1.6226,5e-04,"Translation"
"K03530","DNA-binding protein HU-beta","MULTISPECIES: HU family DNA-binding protein","Increased",1.4694,1e-04,"Regulatory system and stress"
"K02109","F-type H+-Transportersing ATPase subunit b","F0F1 ATP synthase subunit B;MULTISPECIES: F0F1 ATP synthase subunit B'","Increased",1.4333,1e-04,"Photosynthesis"
"K02639","ferredoxin","2Fe-2S iron-sulfur cluster-binding protein;MULTISPECIES: 2Fe-2S iron-sulfur cluster-binding protein","Increased",1.4197,3e-04,"Photosynthesis"
"K04078","chaperonin GroES","MULTISPECIES: co-chaperone GroES","Increased",1.4074,1e-04,"Regulatory system and stress"
"LKDHAOIP_00700","hypothetical protein","DUF805 domain-containing protein","Increased",1.3511,0.0014,"Unknown"
"K02935","large subunit ribosomal protein L7/L12","MULTISPECIES: 50S ribosomal protein L7/L12","Increased",1.3464,1e-04,"Translation"
"K03386","peroxiredoxin 2/4 ","MULTISPECIES: redoxin domain-containing protein","Increased",1.3409,0,"Regulatory system and stress"
"K05380","phycoerythrin-associated linker protein","phycobilisome rod-core linker polypeptide","Increased",1.3384,0,"Photosynthesis"
"K09807","uncharacterized protein","SIMPL domain-containing protein","Increased",1.2859,0.0074,"Unknown"
"K00940","nucleoside-diphosphate kinase ","MULTISPECIES: nucleoside-diphosphate kinase","Increased",1.2633,4e-04,"Purines, pyrimidines, nucleotides"
"LKDHAOIP_00006","hypothetical protein","hypothetical protein","Increased",1.24,0.0021,"Unknown"
"K02838","ribosome recycling factor","ribosome recycling factor","Increased",1.2082,4e-04,"Translation"
"K03217","YidC/Oxa1 family membrane protein insertase","membrane protein insertase YidC","Increased",1.1768,0.0059,"Translation"
"K08903","photosystem II 13kDa protein","photosystem II reaction center protein Psb28","Increased",1.1104,8e-04,"Photosynthesis"
"K02965","small subunit ribosomal protein S19","MULTISPECIES: 30S ribosomal protein S19","Increased",1.045,0.0029,"Translation"
"LKDHAOIP_00112","Ycf48-like protein","photosynthesis system II assembly factor Ycf48","Increased",1.0417,0.0019,"Photosynthesis"
"K02705","photosystem II CP43 chlorophyll apoprotein","photosystem II reaction center protein CP43","Increased",1.0368,1e-04,"Photosynthesis"
"LKDHAOIP_02230","hypothetical protein","CAAD domain-containing protein","Increased",1.0305,0.0014,"Unknown"
"LKDHAOIP_02385","hypothetical protein","hypothetical protein","Increased",1.0048,5e-04,"Unknown"
"K03070","preprotein translocase subunit SecA ","preprotein translocase subunit SecA","Decreased",-5.8052,0,"Cell wall and signaling"
"K03545","trigger factor","trigger factor","Decreased",-5.3554,0,"Translation"
"K09667","protein O-GlcNAc transferase ","tetratricopeptide repeat protein;glycosyltransferase","Decreased",-5.0822,0,"Translation"
"LKDHAOIP_01514","hypothetical protein","IMS domain-containing protein","Decreased",-4.8595,0,"Unknown"
"K03526","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase ","(E)-4-hydroxy-3-methylbut-2-enyl-diphosphate synthase","Decreased",-4.8567,0,"Purines, pyrimidines, nucleotides"
"K02519","translation initiation factor IF-2","translation initiation factor IF-2","Decreased",-4.8238,0,"Translation"
"K01595","phosphoenolpyruvate carboxylase ","phosphoenolpyruvate carboxylase","Decreased",-4.7521,0,"Respiration"
"K00284","glutamate synthase (ferredoxin) ","glutamate synthase large subunit","Decreased",-4.7517,0,"S and N metabolism"
"K03168","DNAtopoisomerase I ","type I DNAtopoisomerase","Decreased",-4.6661,1e-04,"DNA"
"K04755","ferredoxin, 2Fe-2S","2Fe-2S iron-sulfur cluster-binding protein","Decreased",-4.5866,3e-04,"Photosynthesis"
"K01940","argininosuccinate synthase ","argininosuccinate synthase","Decreased",-4.562,3e-04,"Amino acid metabolism"
"K01835","phosphoglucomutase ","alpha-D-glucose phosphate-specific phosphoglucomutase","Decreased",-4.4839,3e-04,"Respiration"
"K12574","ribonuclease J ","RNase J family beta-CASP ribonuclease","Decreased",-4.4731,3e-04,"Transcription"
"K05579","NAD(P)H-quinone oxidoreductase subunit H ","NAD(P)H-quinone oxidoreductase subunit H","Decreased",-4.4012,4e-04,"Energy and redox"
"K00392","sulfite reductase (ferredoxin) ","MAG: sulfite reductase subunit beta","Decreased",-4.37,4e-04,"S and N metabolism"
"K12573","ribonuclease R ","RNB domain-containing ribonuclease","Decreased",-4.3568,4e-04,"Transcription"
"K00161","pyruvate dehydrogenase E1 component alpha subunit ","pyruvate dehydrogenase (acetyl-transferring) E1 component subunit alpha","Decreased",-4.3007,4e-04,"Respiration"
"K02994","small subunit ribosomal protein S8","MULTISPECIES: 30S ribosomal protein S8","Decreased",-4.2437,4e-04,"Translation"
"K01251","adenosylhomocysteinase ","adenosylhomocysteinase","Decreased",-4.2339,0,"Amino acid metabolism"
"K06207","GTP-binding protein","translational GTPase TypA","Decreased",-4.1955,4e-04,"Cell wall and signaling"
"K02470","DNAgyrase subunit B ","DNAtopoisomerase (ATP-hydrolyzing) subunit B","Decreased",-4.1807,5e-04,"DNA"
"K10960","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ","geranylgeranyl reductase","Decreased",-4.1695,5e-04,"Photosynthesis"
"K01599","uroporphyrinogen decarboxylase ","uroporphyrinogen decarboxylase","Decreased",-4.1638,0,"Photosynthesis"
"K00766","anthranilate phosphoribosyltransferase ","anthranilate phosphoribosyltransferase family protein;anthranilate phosphoribosyltransferase","Decreased",-4.1516,5e-04,"Amino acid metabolism"
"K02338","DNApolymerase III subunit beta ","DNApolymerase III subunit beta","Decreased",-4.1495,5e-04,"DNA"
"K02666","type IV pilus assembly protein PilQ","type IV pilus assembly protein PilQ","Decreased",-4.1255,5e-04,"Cell wall and signaling"
"K01876","aspartyl-tRNA synthetase ","aspartate--tRNA ligase","Decreased",-4.1189,5e-04,"Translation"
"K01939","adenylosuccinate synthase ","adenylosuccinate synthase","Decreased",-4.1162,5e-04,"Purines, pyrimidines, nucleotides"
"K01879","glycyl-tRNA synthetase beta chain ","glycine--tRNA ligase subunit beta","Decreased",-4.08,0,"Translation"
"K00003","homoserine dehydrogenase ","homoserine dehydrogenase","Decreased",-4.0621,5e-04,"Amino acid metabolism"
"K08482","circadian clock protein KaiC","circadian clock protein KaiC","Decreased",-4.0444,0,"Regulatory system and stress"
