"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K02012","iron(III) Transporters system substrate-binding protein","MAG: iron ABC transporter substrate-binding protein","Increased",5.5821,0,"Transporters"
"K07267","porin","MAG: porin","Increased",2.1699,0,"Transporters"
"K01647","citrate synthase ","MAG: citrate synthase","Increased",1.4619,0.0039,"Respiration"
"K09807","uncharacterized protein","MAG: SIMPL domain-containing protein","Increased",1.3155,0.0048,"unknown"
"K21185","flavin reductase","MULTISPECIES: flavin reductase family protein","Increased",1.1742,0.0054,"Other metabolites"
"K06048","glutamate---cysteine ligase / carboxylate-amine ligase ","MAG: hypothetical protein DCO99_02030;MAG: putative glutamate--cysteine ligase","Decreased",-3.7147,7e-04,"Regulatory system and stress"
"K16881","mannose-1-phosphate guanylyltransferase / phosphomannomutase ","NDP-sugar synthase","Decreased",-3.1828,0.0046,"Other metabolites"
"K02881","large subunit ribosomal protein L18","MULTISPECIES: 50S ribosomal protein L18","Decreased",-3.139,0.0057,"Translation"
"K00764","amidophosphoribosyltransferase ","MAG: amidophosphoribosyltransferase","Decreased",-3.1319,0.0051,"Purines, pyrimidines, nucleotides"
"K01139","GTP diphosphokinase / guanosine-3',5'-bis(diphosphate) 3'-diphosphatase ","MAG: (p)ppGpp synthetase","Decreased",-3.0956,0.0056,"Regulatory system and stress"
"K03404","magnesium chelatase subunit D ","MAG: magnesium chelatase ATPase subunit D","Decreased",-3.0332,0.0057,"Photosynthesis"
"K00367","ferredoxin-nitrate reductase ","MAG: nitrate reductase catalytic subunit","Decreased",-3.0198,9e-04,"S and N metabolism"
"K21993","formate transporter","MULTISPECIES: formate/nitrite transporter family protein","Decreased",-2.9324,0,"Transporters"
"K19813","glucose dehydrogenase ","MAG: dehydrogenase;GMC oxidoreductase","Decreased",-2.5157,0.0031,"Energy and redox"
"K19223","peptidoglycan DL-endopeptidase LytF ","LysM peptidoglycan-binding domain-containing protein","Decreased",-2.3193,0.0074,"Cell wall and signaling"
"K00228","coproporphyrinogen III oxidase ","oxygen-dependent coproporphyrinogen oxidase","Decreased",-2.2616,0.0083,"Photosynthesis"
"K01682","aconitate hydratase 2 / 2-methylisocitrate dehydratase ","MAG: bifunctional aconitate hydratase 2/2-methylisocitrate dehydratase","Decreased",-2.2471,0,"Respiration"
"K13195","cold-inducible RNA-binding protein","MAG: RNA-binding protein","Decreased",-2.2441,7e-04,"Transcription"
"K04755","ferredoxin, 2Fe-2S","2Fe-2S iron-sulfur cluster-binding protein","Decreased",-2.1591,0.0013,"Photosynthesis"
"K04567","lysyl-tRNA synthetase, class II ","MAG: lysine--tRNA ligase","Decreased",-2.1423,0.0032,"Translation"
"K09667","protein O-GlcNAc transferase ","MAG: hypothetical protein DCO99_07355;MAG: hypothetical protein DCO99_07495;MAG: hypothetical protein DCO99_08875;MAG: hypothetical protein DCO99_05205;MAG: glycosyl transferase","Decreased",-2.1344,0.002,"Translation"
"K11003","membrane fusion protein, hemolysin D","MAG: hemolysin D;MAG: hypothetical protein DCO99_07580","Decreased",-2.0475,0.0076,"Cell wall and signaling"
"K10960","geranylgeranyl diphosphate/geranylgeranyl-bacteriochlorophyllide a reductase ","geranylgeranyl reductase","Decreased",-2.0428,0,"Photosynthesis"
"K05382","phycoerythrin-associated linker protein","MAG: CpeS-like protein;MAG: phycobiliprotein lyase","Decreased",-1.9816,0.0032,"Photosynthesis"
"K00325","H+-translocating NAD(P) transhydrogenase subunit beta ","MULTISPECIES: NAD(P)(+) transhydrogenase (Re/Si-specific) subunit beta","Decreased",-1.967,0.0027,"Energy and redox"
"K03403","magnesium chelatase subunit H ","MAG: magnesium chelatase subunit H","Decreased",-1.7467,0.0014,"Photosynthesis"
"K03321","sulfate permease, SulP family","MAG: sodium-independent anion transporter","Decreased",-1.6426,0.01,"S and N metabolism"
"K00548","5-methyltetrahydrofolate--homocysteine methyltransferase ","MAG: methionine synthase","Decreased",-1.5554,0.001,"Amino acid metabolism"
"K02694","photosystem I subunit III","MULTISPECIES: photosystem I reaction center subunit III","Decreased",-1.5021,2e-04,"Photosynthesis"
"K00688","glycogen phosphorylase ","MAG: glycogen phosphorylase","Decreased",-1.3754,3e-04,"Respiration"
"K01803","triosephosphate isomerase (TIM) ","MULTISPECIES: triose-phosphate isomerase","Decreased",-1.2508,0.0058,"Respiration"
"K03671","thioredoxin 1","MULTISPECIES: thioredoxin domain-containing protein;MULTISPECIES: thioredoxin","Decreased",-1.2321,0.0078,"Regulatory system and stress"
"K03592","PmbA protein","MAG: peptidase C69","Decreased",-1.2248,0.0064,"Translation"
"IKNINDAA_00641","hypothetical protein","carboxysome shell carbonic anhydrase","Decreased",-1.2219,0.008,"unknown"
"K01876","aspartyl-tRNA synthetase ","MAG: aspartate--tRNA ligase","Decreased",-1.146,0.0079,"Translation"
"K11004","ATP-binding cassette, subfamily B, bacterial HlyB/CyaB","MAG: peptidase C39;ABC transporter transmembrane domain-containing protein","Decreased",-1.141,4e-04,"Transporters"
"K02886","large subunit ribosomal protein L2","MULTISPECIES: 50S ribosomal protein L2","Decreased",-1.0822,0.0012,"Translation"
"K02471","vitamin B12/bleomycin/antimicrobial peptide Transporters system ATP-binding/permease protein","MAG: ABC transporter ATP-binding protein","Decreased",-1.0482,0.0085,"Transporters"
"IKNINDAA_01164","hypothetical protein","MAG: hypothetical protein DCO99_07515","Decreased",-1.0345,0.0037,"unknown"
