"KO","KOName","BLAST","Direction","Log2.FC","Pvalue","category"
"K02012","iron(III) Transporters system substrate-binding protein","extracellular solute-binding protein","Increased",3.4556,0,"Transporters"
"K02637","cytochrome b6-f complex subunit 4","MULTISPECIES: cytochrome b6-f complex subunit IV","Increased",2.6358,5e-04,"Photosynthesis"
"K07267","porin","iron uptake porin;MAG: porin","Increased",2.4817,0,"Transporters"
"K02639","ferredoxin","2Fe-2S iron-sulfur cluster-binding protein;MULTISPECIES: 2Fe-2S iron-sulfur cluster-binding protein","Increased",1.7867,1e-04,"Photosynthesis"
"K19220","peptidoglycan DL-endopeptidase CwlS ","iron uptake porin","Increased",1.7809,0,"Transporters"
"K03530","DNA-binding protein HU-beta","MULTISPECIES: HU family DNA-binding protein","Increased",1.7046,1e-04,"Regulatory system and stress"
"LKDHAOIP_01961","hypothetical protein","glucose-6-phosphate dehydrogenase assembly protein OpcA","Increased",1.5548,0.0064,"Unknown"
"LKDHAOIP_00700","hypothetical protein","DUF805 domain-containing protein","Increased",1.5478,0.0012,"Unknown"
"K00940","nucleoside-diphosphate kinase ","MULTISPECIES: nucleoside-diphosphate kinase","Increased",1.5075,1e-04,"Purines, pyrimidines, nucleotides"
"K02109","F-type H+-Transportersing ATPase subunit b","F0F1 ATP synthase subunit B;MULTISPECIES: F0F1 ATP synthase subunit B'","Increased",1.498,1e-04,"Photosynthesis"
"K02902","large subunit ribosomal protein L28","50S ribosomal protein L28","Increased",1.4789,7e-04,"Translation"
"K02838","ribosome recycling factor","ribosome recycling factor","Increased",1.4485,1e-04,"Translation"
"K05380","phycoerythrin-associated linker protein","phycobilisome rod-core linker polypeptide","Increased",1.4306,0,"Photosynthesis"
"K04078","chaperonin GroES","MULTISPECIES: co-chaperone GroES","Increased",1.3889,1e-04,"Regulatory system and stress"
"LKDHAOIP_00006","hypothetical protein","hypothetical protein","Increased",1.3858,0.0014,"Unknown"
"K02935","large subunit ribosomal protein L7/L12","MULTISPECIES: 50S ribosomal protein L7/L12","Increased",1.3293,1e-04,"Translation"
"K03217","YidC/Oxa1 family membrane protein insertase","membrane protein insertase YidC","Increased",1.2368,0.0053,"Translation"
"K02965","small subunit ribosomal protein S19","MULTISPECIES: 30S ribosomal protein S19","Increased",1.1886,0.0014,"Translation"
"K03386","peroxiredoxin 2/4 ","MULTISPECIES: redoxin domain-containing protein","Increased",1.1733,0,"Regulatory system and stress"
"K01772","protoporphyrin/coproporphyrin ferrochelatase ","ferrochelatase","Increased",1.1353,0.0012,"Cofactor"
